ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
ALB,2018-01-08,2018-01-09,2018-01-10,122.5437,117.8983,-3.7908,-4.2908,stop,1,0.3345,-3.8031,2.1122,63.75,25.2,0.8729
ADP,2018-01-31,2018-02-01,2018-02-01,102.6677,99.7467,-2.8451,-3.3451,stop,0,0.0,-2.7653,1.557,64.98,31.24,0.9515
EL,2018-02-14,2018-02-15,2018-02-22,125.8442,125.979,0.1071,-0.3929,time_loss,4,1.5786,-1.4643,2.1236,64.78,31.09,0.9956
SPGI,2018-02-14,2018-02-15,2018-02-22,173.7945,174.3048,0.2936,-0.2064,time_loss,4,2.0929,-1.3828,2.9817,58.92,27.04,0.9941
INTU,2018-02-16,2018-02-20,2018-02-27,161.345,160.7317,-0.3801,-0.8801,time_loss,5,3.807,-3.5965,2.5275,63.03,32.32,0.978
PGR,2018-02-16,2018-02-20,2018-03-12,44.9851,47.2793,5.0999,4.5999,time,14,5.906,-1.034,2.5034,64.53,31.41,0.991
ACN,2018-02-16,2018-02-20,2018-02-27,143.0834,143.2332,0.1047,-0.3953,time_loss,5,1.9707,-1.5211,1.9983,61.37,35.61,0.9812
MCO,2018-02-16,2018-02-20,2018-02-28,155.6795,155.1588,-0.3345,-0.8345,time_loss,6,2.5143,-0.657,2.6518,64.15,26.23,0.986
DE,2018-02-20,2018-02-21,2018-02-27,145.8467,144.767,-0.7403,-1.2403,time_loss,4,2.1299,-1.7172,3.1853,52.56,34.98,0.8513
PNC,2018-02-21,2018-02-22,2018-02-28,121.3239,118.2707,-2.5165,-3.0165,time_loss,4,1.15,-2.77,2.1328,64.56,32.12,0.9611
UNP,2018-02-26,2018-02-27,2018-02-28,115.4097,109.9574,-4.7243,-5.2243,stop,1,0.6072,-5.964,2.6503,60.06,35.02,0.9012
NTRS,2018-02-26,2018-02-27,2018-03-01,85.1209,81.51,-4.2421,-4.7421,stop,2,1.2531,-4.8098,2.3625,63.93,26.21,0.9974
STZ,2018-03-07,2018-03-08,2018-03-22,195.8385,195.2638,-0.2935,-0.7935,time_loss,10,3.086,-0.4313,1.9293,61.68,26.28,0.9333
SHW,2018-03-09,2018-03-12,2018-03-16,130.3623,126.6558,-2.8432,-3.3432,time_loss,4,0.0546,-3.3967,2.3022,62.17,29.06,0.9007
FTNT,2018-04-16,2018-04-17,2018-04-23,11.44,11.348,-0.8042,-1.3042,time_loss,4,1.3636,-0.9091,2.4868,63.78,32.64,0.974
ABT,2018-05-11,2018-05-14,2018-05-22,53.3424,53.247,-0.1788,-0.6788,time_loss,6,1.6098,-1.9187,1.981,60.75,26.83,0.8638
IT,2018-07-09,2018-07-10,2018-07-16,139.49,139.66,0.1219,-0.3781,time_loss,4,1.8711,-0.5879,1.6298,64.63,25.9,0.899
SYY,2018-08-13,2018-08-14,2018-09-04,59.7584,61.5304,2.9653,2.4653,time,14,3.8262,-1.0112,2.0032,63.91,35.51,0.9483
RF,2018-08-17,2018-08-20,2018-08-24,14.0992,13.9759,-0.8749,-1.3749,time_loss,4,1.4411,-1.0808,1.7934,64.37,25.21,0.914
OKE,2018-09-18,2018-09-19,2018-09-21,42.4183,41.1171,-3.0675,-3.5675,stop,2,0.5049,-3.4911,1.7018,63.7,32.29,0.915
HUM,2018-09-24,2018-09-25,2018-09-25,318.2125,311.0388,-2.2544,-2.7544,stop,0,0.0587,-2.3176,1.2332,64.16,27.8,0.9938
AJG,2018-11-06,2018-11-07,2018-11-28,68.7768,70.5474,2.5745,2.0745,time,14,3.8093,-0.6305,1.7841,63.65,25.37,0.9582
CSCO,2018-11-07,2018-11-08,2018-11-12,38.421,36.7346,-4.3893,-4.8893,stop,2,1.1907,-4.8673,2.4519,61.21,27.72,0.9248
FFIV,2018-11-07,2018-11-08,2018-11-13,188.0,177.6833,-5.4876,-5.9876,stop,3,1.1064,-6.3777,3.0742,64.75,32.58,0.8599
TT,2018-11-07,2018-11-08,2018-11-14,71.5138,70.6449,-1.215,-1.715,time_loss,4,1.3705,-1.8857,2.2859,63.78,25.54,0.8897
