ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
ORLY,2018-11-08,2018-11-09,2018-11-15,23.63,23.0667,-2.384,-2.884,time_loss,4,2.4686,-3.0216,2.7005,64.04,30.11,0.9929
V,2018-11-08,2018-11-09,2018-11-15,136.5215,134.5283,-1.46,-1.96,time_loss,4,0.2566,-4.1764,2.6061,57.28,30.78,0.8608
PG,2019-05-16,2019-05-17,2019-05-23,89.8778,89.4505,-0.4754,-0.9754,time_loss,4,0.8017,-1.2865,1.3599,64.32,25.55,0.9851
KO,2019-05-23,2019-05-24,2019-05-29,39.9872,39.0805,-2.2674,-2.7674,stop,2,0.1405,-2.8302,1.239,64.91,25.87,0.9766
FIS,2019-06-07,2019-06-10,2019-06-14,106.0866,104.9081,-1.1109,-1.6109,time_loss,4,0.13,-2.1046,1.8374,63.52,28.74,0.9823
MSI,2019-08-21,2019-08-22,2019-08-28,164.1101,163.2309,-0.5357,-1.0357,time_loss,4,0.279,-2.4777,1.913,62.82,32.01,0.9994
SHW,2019-09-19,2019-09-20,2019-09-26,173.336,172.1368,-0.6918,-1.1918,time_loss,4,0.3459,-2.5173,1.9497,64.93,25.12,0.9952
SHW,2019-11-13,2019-11-14,2019-11-20,184.6235,181.17,-1.8705,-2.3705,time_loss,4,1.7036,-2.4481,1.7926,62.74,32.42,0.9855
LEN,2020-01-13,2020-01-14,2020-01-22,53.2214,58.1595,9.2783,8.7783,target,5,10.0083,0.0,2.3081,64.45,25.13,0.8936
CMG,2020-02-12,2020-02-13,2020-02-24,17.966,17.9215,-0.2478,-0.7478,stop,6,4.6733,-1.5997,1.8558,64.41,29.44,0.9964
DPZ,2020-02-18,2020-02-19,2020-02-20,274.274,331.8809,21.0034,20.5034,stop,1,28.1452,-0.8725,2.0659,64.85,25.5,0.9485
DRI,2020-12-17,2020-12-18,2020-12-24,99.1758,99.1674,-0.0085,-0.5085,time_loss,4,2.8753,-4.7158,3.3908,64.31,33.14,0.9265
KKR,2020-12-17,2020-12-18,2020-12-24,38.6105,37.9813,-1.6296,-2.1296,time_loss,4,0.0988,-3.3333,2.1282,64.91,26.18,0.9886
NFLX,2020-12-31,2021-01-04,2021-01-06,53.9,51.1202,-5.1573,-5.6573,stop,2,0.334,-7.3284,2.6417,63.0,26.77,0.8785
INTC,2021-03-16,2021-03-17,2021-03-23,58.4089,57.7359,-1.1523,-1.6523,time_loss,4,3.3634,-2.0243,3.1274,61.97,29.61,0.9581
BKNG,2021-03-17,2021-03-18,2021-03-19,95.1011,89.1197,-6.2895,-6.7895,stop,1,0.8002,-6.6811,3.4919,64.59,27.91,0.9943
INTC,2021-04-09,2021-04-12,2021-04-12,62.0288,58.9259,-5.0024,-5.5024,stop,0,0.4252,-5.1173,2.8017,64.72,36.62,0.9945
ANET,2021-04-09,2021-04-12,2021-04-19,19.6875,19.6756,-0.0603,-0.5603,time_loss,5,1.9016,-1.4349,2.5216,63.84,25.09,0.9173
ANET,2021-04-26,2021-04-27,2021-05-03,20.1419,19.6694,-2.3459,-2.8459,time_loss,4,0.3475,-3.3729,2.0325,62.73,28.03,0.9586
LEN,2021-05-07,2021-05-10,2021-05-11,96.6267,91.8643,-4.9287,-5.4287,stop,1,2.6543,-5.2715,2.7544,62.62,27.95,0.9971
ANET,2021-10-08,2021-10-11,2021-10-26,23.3125,25.3986,8.9483,8.4483,target,11,9.3298,-0.3164,2.2436,61.24,31.31,0.9342
ETN,2021-10-15,2021-10-18,2021-10-27,148.7678,148.5358,-0.1559,-0.6559,time_loss,7,2.2884,-0.3492,1.9767,60.96,34.69,0.863
MCO,2021-10-19,2021-10-20,2021-10-21,365.2016,353.4337,-3.2223,-3.7223,stop,1,0.0,-3.3605,1.7923,61.85,27.71,0.9328
ADBE,2021-10-22,2021-10-25,2021-11-01,644.47,640.2,-0.6626,-1.1626,time_loss,5,2.2841,-1.7379,2.0083,64.79,32.02,0.8803
NFLX,2021-11-17,2021-11-18,2021-11-22,69.161,66.2225,-4.2488,-4.7488,stop,2,0.3687,-5.0809,2.3729,63.44,25.73,0.9587
CME,2021-12-08,2021-12-09,2021-12-15,188.2024,186.1096,-1.112,-1.612,time_loss,4,0.2389,-1.9764,1.9932,64.1,31.49,0.9888
COST,2021-12-29,2021-12-30,2022-01-05,541.4606,522.8171,-3.4432,-3.9432,time_loss,4,0.0614,-3.4695,2.2425,63.83,32.48,0.986
RF,2022-01-04,2022-01-05,2022-01-19,19.732,19.9701,1.2065,0.7065,stop,9,7.0889,-1.7617,2.6567,64.68,25.66,0.8801
JNJ,2022-03-28,2022-03-29,2022-04-04,158.1391,156.2355,-1.2037,-1.7037,time_loss,4,0.8902,-1.7355,1.6609,64.45,29.03,0.9863
NVDA,2023-05-08,2023-05-09,2023-05-15,28.8398,28.8937,0.1869,-0.3131,time_loss,4,0.7405,-2.9517,3.0014,64.03,25.56,0.9963
DRI,2023-06-13,2023-06-14,2023-06-21,151.2803,150.9447,-0.2218,-0.7218,time_loss,4,1.3191,-1.0373,1.6282,64.99,26.05,0.9901
AAPL,2023-09-01,2023-09-05,2023-09-06,185.9277,180.3021,-3.0257,-3.5257,stop,1,0.9029,-3.617,1.6631,62.12,30.02,0.8856
KKR,2023-11-13,2023-11-14,2023-11-29,65.0466,71.7949,10.3745,9.8745,target,10,13.7337,-0.2503,2.6857,64.94,25.31,0.9603
XYL,2024-02-02,2024-02-05,2024-02-06,109.6436,112.4312,2.5423,2.0423,stop,1,6.1416,-0.8673,1.547,63.18,25.91,0.9601
TJX,2024-02-02,2024-02-05,2024-02-26,93.4463,96.4177,3.1798,2.6798,time,14,3.6581,-1.3886,1.3882,64.24,25.32,0.9792
